latitude,longitude,elevation_m,slope_deg,slope_class
11.85,76.0,848.0,10.254409478080584,Low (5-15°)
11.85,76.00138888888888,848.0,5.541356985555456,Low (5-15°)
11.85,76.00277777777778,827.0,14.350595289952437,Low (5-15°)
11.85,76.00416666666666,831.0,13.261320033264974,Low (5-15°)
11.85,76.00555555555556,840.0,13.672117667626496,Low (5-15°)
11.85,76.00694444444444,842.0,10.067745189267237,Low (5-15°)
11.85,76.00833333333334,847.0,11.12197019322004,Low (5-15°)
11.85,76.00972222222222,881.0,12.885995566059863,Low (5-15°)
11.85,76.0111111111111,851.0,23.48908971763981,Moderate (15-30°)
11.85,76.0125,824.0,5.069607065757392,Low (5-15°)
11.85,76.01388888888889,824.0,0.946537701274394,Very low (0-5°)
11.85,76.01527777777778,814.0,7.584829558072489,Low (5-15°)
11.85,76.01666666666667,810.0,2.7771727466475022,Very low (0-5°)
11.85,76.01805555555555,799.0,10.127996223416767,Low (5-15°)
11.85,76.01944444444445,800.0,15.154558865884862,Moderate (15-30°)
11.85,76.02083333333333,788.0,11.324571546383122,Low (5-15°)
11.85,76.02222222222223,801.0,15.04339764602127,Moderate (15-30°)
11.85,76.02361111111111,821.0,6.750364420332061,Low (5-15°)
11.85,76.025,789.0,16.585105188900823,Moderate (15-30°)
11.85,76.02638888888889,771.0,3.967267392519427,Very low (0-5°)
11.85,76.02777777777777,799.0,16.143061638197896,Moderate (15-30°)
11.85,76.02916666666667,798.0,16.266376372304876,Moderate (15-30°)
11.85,76.03055555555555,760.0,6.66065062144885,Low (5-15°)
11.85,76.03194444444445,762.0,1.324304070083293,Very low (0-5°)
11.85,76.03333333333333,763.0,6.724802155777968,Low (5-15°)
11.85,76.03472222222223,759.0,2.6471946780197047,Very low (0-5°)
11.85,76.03611111111111,757.0,2.7771727466475022,Very low (0-5°)
11.85,76.0375,758.0,2.106820336486557,Very low (0-5°)
11.85,76.03888888888889,757.0,0.0,Very low (0-5°)
11.85,76.04027777777777,755.0,1.8522542739113341,Very low (0-5°)
11.85,76.04166666666667,752.0,1.8522542739113341,Very low (0-5°)
11.85,76.04305555555555,755.0,2.7771727466475022,Very low (0-5°)
11.85,76.04444444444445,755.0,0.926369172997235,Very low (0-5°)
11.85,76.04583333333333,765.0,13.672117667626496,Low (5-15°)
11.85,76.04722222222222,786.0,12.012583317588646,Low (5-15°)
11.85,76.04861111111111,773.0,15.194036323851744,Moderate (15-30°)
11.85,76.05,752.0,10.067745189267237,Low (5-15°)
11.85,76.0513888888889,748.0,6.847758433774467,Low (5-15°)
11.85,76.05277777777778,755.0,19.733743227713504,Moderate (15-30°)
11.85,76.05416666666666,739.0,1.8925590319370487,Very low (0-5°)
11.85,76.05555555555556,743.0,2.7771727466475022,Very low (0-5°)
11.85,76.05694444444444,759.0,21.36657515231468,Moderate (15-30°)
11.85,76.05833333333334,760.0,11.095635042197115,Low (5-15°)
11.85,76.05972222222222,751.0,2.837549309574286,Very low (0-5°)
11.85,76.06111111111112,777.0,10.91851489158658,Low (5-15°)
11.85,76.0625,797.0,2.0797913024789003,Very low (0-5°)
11.85,76.06388888888888,800.0,6.724802155777968,Low (5-15°)
11.85,76.06527777777778,788.0,9.192095478119686,Low (5-15°)
11.85,76.06666666666666,791.0,11.978217312769491,Low (5-15°)
11.85,76.06805555555556,807.0,11.12197019322004,Low (5-15°)
11.85,76.06944444444444,827.0,5.735570048238876,Low (5-15°)
11.85,76.07083333333334,831.0,5.541356985555456,Low (5-15°)
11.85,76.07222222222222,832.0,6.457665776341533,Low (5-15°)
11.85,76.0736111111111,808.0,12.417904978271984,Low (5-15°)
11.85,76.075,787.0,7.148325369137588,Low (5-15°)
11.85,76.07638888888889,773.0,4.717296053183286,Very low (0-5°)
11.85,76.07777777777778,783.0,16.605719490908417,Moderate (15-30°)
11.85,76.07916666666667,799.0,11.58407080895433,Low (5-15°)
11.85,76.08055555555555,793.0,8.739974577652946,Low (5-15°)
11.85,76.08194444444445,777.0,9.770014600095019,Low (5-15°)
11.85,76.08333333333333,764.0,3.8191274860792856,Very low (0-5°)
11.85,76.08472222222223,772.0,2.984466989965944,Very low (0-5°)
11.85,76.08611111111111,768.0,4.658520963130484,Very low (0-5°)
11.85,76.0875,768.0,2.106820336486557,Very low (0-5°)
11.85,76.08888888888889,778.0,5.661247281532108,Low (5-15°)
11.85,76.09027777777777,776.0,6.297824744688029,Low (5-15°)
11.85,76.09166666666667,769.0,7.604616115386944,Low (5-15°)
11.85,76.09305555555555,779.0,7.289614451309574,Low (5-15°)
11.85,76.09444444444445,788.0,1.8522542739113341,Very low (0-5°)
11.85,76.09583333333333,770.0,8.014227690768873,Low (5-15°)
11.85,76.09722222222223,751.0,8.457644023968584,Low (5-15°)
11.85,76.09861111111111,745.0,3.967267392519427,Very low (0-5°)
11.85,76.1,737.0,4.811594480097486,Very low (0-5°)
11.85,76.10138888888889,736.0,6.69518156269242,Low (5-15°)
11.85,76.10277777777777,743.0,7.886850692194693,Low (5-15°)
11.85,76.10416666666667,740.0,3.967267392519427,Very low (0-5°)
11.85,76.10555555555555,731.0,5.961311376071177,Low (5-15°)
11.85,76.10694444444445,742.0,2.9335676358163423,Very low (0-5°)
11.85,76.10833333333333,748.0,0.946537701274394,Very low (0-5°)
11.85,76.10972222222222,744.0,5.961311376071177,Low (5-15°)
11.85,76.11111111111111,733.0,3.89218808290609,Very low (0-5°)
11.85,76.1125,722.0,4.658520963130484,Very low (0-5°)
11.85,76.1138888888889,708.0,2.106820336486557,Very low (0-5°)
11.85,76.11527777777778,702.0,3.359057404293766,Very low (0-5°)
11.85,76.11666666666666,706.0,4.1541162028071215,Very low (0-5°)
11.85,76.11805555555556,709.0,1.324304070083293,Very low (0-5°)
11.85,76.11944444444444,707.0,2.7771727466475022,Very low (0-5°)
11.85,76.12083333333334,701.0,2.0797913024789003,Very low (0-5°)
11.85,76.12222222222222,700.0,1.324304070083293,Very low (0-5°)
11.85,76.12361111111112,714.0,10.254409478080584,Low (5-15°)
11.85,76.125,714.0,7.043986989840154,Low (5-15°)
11.85,76.12638888888888,716.0,1.324304070083293,Very low (0-5°)
